Processes	 Steps		 Error			 Time
8		 2		 0.40297986606396252	 0.00013089179992675781
8		 4		 0.21897966746476261	 4.6968460083007812e-05
8		 8		 0.11429479693195033	 2.8133392333984375e-05
8		 16		 0.058399633250339367	 3.0994415283203125e-05
8		 32		 0.029518814978705787	 2.4080276489257812e-05
8		 64		 0.014839863800788056	 2.8133392333984375e-05
8		 128		 0.007440131818273521	 3.8862228393554688e-05
8		 256		 0.0037251264541935392	 7.9870223999023438e-05
8		 512		 0.0018638296735327131	 4.5061111450195312e-05
8		 1024		 0.00093223161148170419	 2.9802322387695312e-05
8		 2048		 0.00046619501976596922	 2.9802322387695312e-05
8		 4096		 0.00023311731593000928	 3.2901763916015625e-05
8		 8192		 0.00011656360979772629	 4.5061111450195312e-05
8		 16384		 5.8283042899898163e-05	 6.8187713623046875e-05
8		 32768		 2.9141830955037307e-05	 0.00011491775512695312
8		 65536		 1.4570992856288711e-05	 0.00023317337036132812
8		 131072		 7.2855157746687382e-06	 0.00040006637573242188
8		 262144		 3.6427627172486154e-06	 0.00078487396240234375
8		 524288		 1.8213825598856204e-06	 0.0015718936920166016
8		 1048576	 9.1069157326373329e-07	 0.0030090808868408203
8		 2097152	 4.5534585479956036e-07	 0.0060942173004150391
8		 4194304	 2.2767294893810686e-07	 0.012598037719726562
8		 8388608	 1.1383654463514858e-07	 0.024057865142822266
8		 16777216	 5.6918854074439196e-08	 0.048025846481323242
8		 33554432	 2.8464101298197875e-08	 0.063752889633178711
